"addr";"type";"firstacc";"T0";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"T8";"total";"struct"
34166890844;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890845;"R";0;0;6400;96000;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890845;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890846;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890846;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890847;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890847;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890848;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890848;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890849;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890849;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890850;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890850;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890851;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890851;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890852;"R";0;0;0;102400;0;0;0;0;0;0;102400;"AnonymousStruct3"
34166890852;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890853;"R";0;0;0;6400;96000;0;0;0;0;0;102400;"AnonymousStruct3"
34166890853;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890854;"R";0;0;0;0;102400;0;0;0;0;0;102400;"AnonymousStruct3"
34166890854;"W";0;1024;0;0;0;0;0;0;0;0;1024;"AnonymousStruct3"
34166890855;"R";0;0;0;0;102400;0;0;0;0;0;102400;"AnonymousStruct3"
